City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Pegnitz,49.7564,11.545,44.92,86,95,2.24,DE,2021-05-29 03:24:26
148,Comodoro Rivadavia,-45.8667,-67.5,33.66,69,0,10.36,AR,2021-05-29 03:16:05
149,Sisimiut,66.9395,-53.6735,39.56,77,39,4.7,GL,2021-05-29 03:24:26
150,Cayenne,4.9333,-52.3333,77.09,89,75,5.01,GF,2021-05-29 03:24:26
151,Port Blair,11.6667,92.75,82.44,89,75,2.3,IN,2021-05-29 03:24:27
152,Souillac,-20.5167,57.5167,74.35,88,75,6.69,MU,2021-05-29 03:24:27
153,Port Lincoln,-34.7333,135.8667,59.22,63,4,11.63,AU,2021-05-29 03:16:57
154,Cockburn Town,21.4612,-71.1419,79.07,77,98,16.08,TC,2021-05-29 03:24:27
155,Kahului,20.8947,-156.47,80.62,68,40,21.85,US,2021-05-29 03:24:27
156,Cherskiy,68.75,161.3,59.2,30,75,14.63,RU,2021-05-29 03:16:27
157,Xining,36.6167,101.7667,66.18,25,61,1.86,CN,2021-05-29 03:18:08
158,Ilulissat,69.2167,-51.1,39.22,70,13,1.14,GL,2021-05-29 03:16:36
159,Sesheke,-17.4759,24.2968,48.72,43,0,2.44,ZM,2021-05-29 03:24:28
160,Seymchan,62.8833,152.4333,50.38,51,99,18.05,RU,2021-05-29 03:24:28
161,Japura,-0.3167,102.35,85.95,68,63,3.42,ID,2021-05-29 03:24:28
162,Mareeba,-17.0,145.4333,75.49,54,30,5.88,AU,2021-05-29 03:24:29
163,Lashio,22.9333,97.75,88.97,38,47,2.8,MM,2021-05-29 03:24:29
164,San Quintin,30.4833,-115.95,63.45,85,2,10.89,MX,2021-05-29 03:16:37
165,Gardabani,41.4605,45.0928,64.49,79,68,2.42,GE,2021-05-29 03:24:29
166,Arrecife,28.963,-13.5477,64.47,72,0,6.91,ES,2021-05-29 03:24:29
167,Luderitz,-26.6481,15.1594,60.84,58,100,12.53,NA,2021-05-29 03:17:37
168,Libertador General San Martin,-23.8064,-64.7876,61.97,49,34,3.67,AR,2021-05-29 03:24:30
169,Makakilo City,21.3469,-158.0858,82.72,55,75,14.97,US,2021-05-29 03:17:49
170,Krasnyy Oktyabr,56.1167,38.8833,58.06,89,100,2.66,RU,2021-05-29 03:24:30
171,Leh,34.1667,77.5833,50.16,27,0,1.7,IN,2021-05-29 03:24:30
172,Tiksi,71.6872,128.8694,33.1,96,100,14.41,RU,2021-05-29 03:16:38
173,Inverness,57.4791,-4.224,49.78,92,75,1.01,GB,2021-05-29 03:24:31
174,Klaksvik,62.2266,-6.589,45.52,93,8,16.4,FO,2021-05-29 03:16:46
175,Abu Samrah,35.3029,37.1841,63.72,77,0,11.45,SY,2021-05-29 03:24:31
176,Safaga,26.7292,33.9365,78.75,36,0,12.84,EG,2021-05-29 03:24:31
177,Mayumba,-3.432,10.6554,75.88,90,88,5.73,GA,2021-05-29 03:17:02
178,Deputatskiy,69.3,139.9,50.88,34,21,21.14,RU,2021-05-29 03:17:12
179,Lavrentiya,65.5833,-171.0,34.36,81,9,11.61,RU,2021-05-29 03:16:50
180,Ahipara,-35.1667,173.1667,57.9,74,79,14.5,NZ,2021-05-29 03:16:30
181,Coquimbo,-29.9533,-71.3436,53.33,93,0,3.91,CL,2021-05-29 03:16:16
182,Teya,60.3778,92.6267,36.23,75,100,10.63,RU,2021-05-29 03:24:32
183,Kirensk,57.7853,108.1119,43.07,91,100,9.55,RU,2021-05-29 03:24:32
184,Soyo,-6.1349,12.3689,74.75,91,99,6.35,AO,2021-05-29 03:24:32
185,Tsurib,42.2368,46.8307,58.71,69,24,9.08,RU,2021-05-29 03:24:33
